CAND_ID,degree_in,degree_in_raw,degree_out,degree_out_raw,pagerank,katz,CANDIDATE NAME,in_closeness,out_closeness,total,negative,positive,absolute,PAC,CAND_PTY_AFFILIATION,CAND_OFFICE_ST,cumulative_occurrence,24E,24A,total_24a_positive,total_24e_positive,chairs_next,chairs_now
H2AL01077,0.002304147465437788,1,0.029953917050691243,13,0.0011188120568729567,0.017953207210645254,"Bonner, Jo",0.002304147465437788,0.06841927538534881,356733,-5.25,361.983,367.233,117,REP,AL,1,0.0,0.0,0.0,0.0,1,0
H6CA07043,0.002304147465437788,1,0.013824884792626727,6,0.0016284201232937563,0.018158843338970106,"Miller, George",0.006831595116824318,0.0427076069217884,596709,-18.54,615.249,633.789,162,DEM,CA,1,0.0,0.0,0.0,0.0,1,1
H2NY14037,0.002304147465437788,1,0.01152073732718894,5,0.0009705869564638073,0.019310092511578836,"Maloney, Carolyn B.",0.07991451430241478,0.061780291175169165,708631,-15.8,724.431,740.231,203,DEM,NY,1,0.0,0.0,0.0,0.0,0,0
H2MD05155,0.0,0,0.1497695852534562,65,0.0008717652851550921,0.016321097464222955,"Hoyer, Steny H.",0.0,0.13506180283388602,2292080,-125.1,2417.18,2542.28,505,DEM,MD,1,0.0,0.0,0.0,0.0,1,1
H2OH03067,0.0,0,0.009216589861751152,4,0.0008717652851550921,0.016321097464222955,"Turner, Michael R.",0.0,0.056832750077959876,321989,-12.5,334.489,346.989,96,REP,OH,1,0.0,0.0,0.0,0.0,0,0
H0NJ01066,0.002304147465437788,1,0.013824884792626727,6,0.0008900130277170683,0.018377458747915763,"Andrews, Robert E. #",0.00754084625052367,0.05367760007228698,712316,-24.0,736.316,760.316,211,DEM,NJ,1,0.0,0.0,0.0,0.0,0,0
H8OH05036,0.03456221198156682,15,0.006912442396313364,3,0.003796057437174,0.05374533531379917,"Latta, Bob",0.065254637835283,0.004608294930875576,918836,-20.0,938.836,958.836,171,REP,OH,1,0.0,0.0,0.0,0.0,0,0
H2MA01020,0.002304147465437788,1,0.03686635944700461,16,0.0008944846784915623,0.01850374855969155,"Olver, John W.",0.008361825479411328,0.08144113950565564,394074,-8.0,402.074,410.074,118,DEM,MA,1,0.0,0.0,0.0,0.0,0,0
H6OK05160,0.0,0,0.01152073732718894,5,0.0008717652851550921,0.016321097464222955,"Fallin, Mary",0.0,0.05704721328580123,246609,-2.5,249.109,251.609,90,REP,OK,1,0.0,0.0,0.0,0.0,0,0
H2TX03126,0.0,0,0.02304147465437788,10,0.0008717652851550921,0.016321097464222955,"Sessions, Pete",0.0,0.051472051686390984,734707,-15.1,749.807,764.907,240,REP,TX,1,0.0,0.0,0.0,0.0,0,0
H4AZ04016,0.04608294930875576,20,0.002304147465437788,1,0.004260347507533959,0.058607331849824036,"Shadegg, John",0.06555451127819548,0.002304147465437788,2010001,-28.4,2038.401,2066.801,263,REP,AZ,1,0.0,0.0,0.0,0.0,0,0
H8FL24026,0.06912442396313365,30,0.0,0,0.0025859464444463005,0.07588241071970736,"Kosmas, Suzanne M.",0.12297552971839944,0.0,1085313,-4.5,1089.813,1094.313,116,DEM,FL,1,0.0,0.0,0.0,0.0,0,0
H0GA04023,0.0,0,0.002304147465437788,1,0.0008717652851550921,0.016321097464222955,"Linder, John",0.0,0.002304147465437788,212163,-12.0,224.163,236.163,80,REP,GA,1,0.0,0.0,0.0,0.0,0,0
H8CA01109,0.0,0,0.004608294930875576,2,0.0008717652851550921,0.016321097464222955,"Thompson, Mike",0.0,0.061080854629241725,815859,-26.502,842.361,868.863,237,DEM,CA,1,0.0,0.0,0.0,0.0,0,0
H4IL03077,0.01152073732718894,5,0.03225806451612903,14,0.0016272526120137715,0.029889953223195487,"Lipinski, Daniel William",0.09924685812803412,0.06712515097149423,399991,-4.05,404.041,408.091,117,DEM,IL,1,0.0,0.0,0.0,0.0,0,0
H2VA09010,0.0,0,0.018433179723502304,8,0.0008717652851550921,0.016321097464222955,"Boucher, Rick C.",0.0,0.05587437845502362,1208509,-32.3,1240.809,1273.109,364,DEM,VA,1,0.0,0.0,0.0,0.0,0,0
H8VA01147,0.027649769585253454,12,0.0,0,0.0020723029597079787,0.04545430440173239,"Wittman, Robert J. ""Rob""",0.06588616266035621,0.0,596675,-19.0,615.675,634.675,148,REP,VA,1,0.0,0.0,0.0,0.0,0,0
H4WI04183,0.004608294930875576,2,0.01152073732718894,5,0.0009065495674072054,0.020247897466580397,"Moore, Gwendolynne",0.06277981862013546,0.0394912939098761,386763,-9.5,396.263,405.763,106,DEM,WI,1,0.0,0.0,0.0,0.0,0,0
